lambda,QPA_0
0.0,0.994
0.2499999999999999,0.8103
0.2749999999999999,0.7834
0.3,0.7694
0.3249999999999999,0.7562
0.35,0.7387
0.3749999999999999,0.7117
0.3999999999999999,0.6875
0.425,0.6792
0.4499999999999999,0.6546
0.475,0.6497
0.0249999999999999,0.9752
0.4999999999999999,0.6176
0.5249999999999999,0.6021
0.5499999999999999,0.5794
0.575,0.5717
0.6,0.5359
0.0499999999999999,0.9587
0.075,0.9388
0.0999999999999999,0.9192
0.1249999999999999,0.905
0.15,0.8865
0.175,0.869
0.1999999999999999,0.8434
0.2249999999999999,0.8287
