epsilon,fidelity,purified_n1_noisy,purified_n2_noisy
0.0,0.9999999999999221,0.9999999999999605,0.9999999999999609
0.01,0.696297604761107,0.9904901593282831,0.9881273437226148
0.02,0.5145645106495724,0.9802434170122035,0.9753937733158775
0.03,0.4062104645501125,0.9692576048600151,0.9617548271839509
0.04,0.3418510891139747,0.9575378259593215,0.9471731339057539
0.05,0.30377428640193604,0.9450969433305246,0.9316209560377493
0.06,0.28133992842653494,0.9319558950020467,0.9150828629738972
0.07,0.2681788931752856,0.9181438083112266,0.89755838889325
0.08,0.2604928195488406,0.9036978920871168,0.8790644896833186
0.09,0.2560252840500002,0.8886630953263707,0.8596375826490242
0.1,0.2534413149957823,0.8730915326582914,0.8393349407814215
0.11,0.25195447226434164,0.8570416894185776,0.8182352265996129
0.12,0.25110353151027165,0.8405774314854735,0.7964379937916451
0.13,0.2506192660081142,0.8237668561048814,0.7740620582831631
0.14,0.25034529422035434,0.806681028753325,0.7512427383735525
0.15,0.25019124880170274,0.789392656880454,0.7281280747234407
0.16,0.2501051913193773,0.7719747536661816,0.7048742493876241
0.17,0.2500574389763381,0.7544993436157136,0.6816405114871814
0.18,0.25003112852094544,0.7370362571598256,0.6585839706026325
0.19,0.25001673913792916,0.7196520540055419,0.6358546285393797
0.2,0.25000893044441685,0.7024091055987509,0.6135909848056137
