lambda,F_nqpa0,F_nqpa1,F_nqpa2,F_nqpa3
0.0,0.9981487019126424,0.9981487019126479,0.9981487019126464,0.9981487019126457
0.05,0.9607412700657262,0.9821190336331728,0.9834551438346358,0.9835386507220852
0.1,0.9233338362254122,0.9622609470523366,0.9646938914555299,0.9648459504805887
0.15000000000000002,0.8859264020291215,0.9388374641388313,0.9421444054982238,0.9423510893330603
0.2,0.8485189676362291,0.9121116059932876,0.9160861458702085,0.9163345546124099
0.25,0.8111115331091189,0.8823463936666482,0.8867985724335006,0.8870768336063395
0.30000000000000004,0.773704098479924,0.8498048481959561,0.8545611450376431,0.8548584135901748
0.35000000000000003,0.7362966637676517,0.8147499906129185,0.819653323527497,0.8199597818345982
0.4,0.6988892289845012,0.7774448419468334,0.7823545677458686,0.7826614256082585
0.45,0.661481794138696,0.738152423225837,0.7429443375346112,0.7432438321788696
0.5,0.6240743592359077,0.6971357554774542,0.7017020927351101,0.7019874888136812
0.55,0.5866669242800542,0.6546578597289052,0.6589072931885436,0.6591728827797467
0.6000000000000001,0.5492594892737507,0.6109817570072409,0.6148393987359982,0.6150805013440269
0.65,0.511852054218578,0.5663704683394161,0.5697778692185226,0.5699908317734521
0.7000000000000001,0.4744446191152321,0.5210870147523183,0.5240021644771523,0.5241843613349442
0.75,0.4370371839635792,0.47539441727275034,0.4777917443528806,0.4779415772953826
0.8,0.3996297487626521,0.42955569692738393,0.43142606868661787,0.4315429669215656
0.8500000000000001,0.36222231351055934,0.3838338747426696,0.3851845973190916,0.3852690174801154
0.9,0.32481487820430244,0.338491971744679,0.3393467900906988,0.33940021623732375
0.9500000000000001,0.2874074428394643,0.2937930089588716,0.2941921068412724,0.2942170504589217
1.0,0.2500000074096614,0.2500000074096628,0.2500000074096626,0.2500000074096626
