lambda,heuristic_n5,cyclic_n5,cyclic_n3,theory_n3,theory_n5
0.0,1.0,1.0,1.0,1.0,1.0
0.05263157894736842,0.99007,0.98971,0.98426,0.9844729552412887,0.990984484313834
0.10526315789473684,0.97643,0.97635,0.9637,0.9644263012100889,0.9791865652383043
0.15789473684210525,0.95859,0.95791,0.94039,0.9401880740632745,0.9639341056234019
0.21052631578947367,0.93757,0.93553,0.90984,0.9120863099577198,0.944731208243289
0.2631578947368421,0.90949,0.90865,0.87973,0.8804490450502988,0.9212466300317556
0.3157894736842105,0.87821,0.87807,0.84638,0.8456043154978861,0.8933021963176756
0.3684210526315789,0.8415,0.84058,0.80824,0.8078801574573553,0.8608612150604642
0.42105263157894735,0.80536,0.80267,0.76685,0.767604607085581,0.8240168910855341
0.47368421052631576,0.76079,0.76082,0.7262,0.7251057005394372,0.7829807403197528
0.5263157894736842,0.71653,0.715,0.67963,0.6807114739757981,0.7380710040268987
0.5789473684210527,0.66688,0.66745,0.63431,0.6347499635515381,0.6897010630431174
0.631578947368421,0.61717,0.61657,0.58761,0.5875492054235312,0.6383678520123792
0.6842105263157894,0.56639,0.56466,0.53895,0.5394372357486515,0.5846402736219354
0.7368421052631579,0.51181,0.5128,0.49164,0.49074209068377317,0.5291476128377745
0.7894736842105263,0.45955,0.45686,0.44393,0.4417918063857706,0.47256795114007966
0.8421052631578947,0.40567,0.40363,0.39339,0.39291441901151775,0.4156165807586853
0.894736842105263,0.34883,0.35033,0.34759,0.3444379647178889,0.35903441890853316
0.9473684210526315,0.29778,0.30108,0.29551,0.29669047966175827,0.3035764220251292
1.0,0.24871,0.25132,0.25151,0.25,0.25
