lambda,hybrid_5reg,hybrid_7reg,base_3reg,baseline,theory_3
0.0,1.0,1.0,1.0,1.0,1.0
0.05263157894736842,0.9888,0.992,0.9821,0.9605263157894737,0.9844729552412887
0.10526315789473684,0.9754,0.9802,0.9622,0.9210526315789473,0.9644263012100889
0.15789473684210525,0.9556,0.9672,0.9347,0.881578947368421,0.9401880740632745
0.21052631578947367,0.9337,0.9543,0.9084,0.8421052631578947,0.9120863099577198
0.2631578947368421,0.9063,0.931,0.8797,0.8026315789473684,0.8804490450502988
0.3157894736842105,0.8796,0.9038,0.8447,0.7631578947368421,0.8456043154978861
0.3684210526315789,0.8436,0.874,0.8015,0.7236842105263158,0.8078801574573553
0.42105263157894735,0.8049,0.8297,0.7521,0.6842105263157895,0.767604607085581
0.47368421052631576,0.7632,0.7965,0.724,0.6447368421052632,0.7251057005394372
0.5263157894736842,0.7171,0.7614,0.6708,0.6052631578947368,0.6807114739757981
0.5789473684210527,0.6708,0.7023,0.6223,0.5657894736842105,0.6347499635515381
0.631578947368421,0.6152,0.6509,0.5814,0.5263157894736843,0.5875492054235312
0.6842105263157894,0.5663,0.5945,0.5363,0.48684210526315796,0.5394372357486515
0.7368421052631579,0.5106,0.5496,0.4858,0.44736842105263164,0.49074209068377317
0.7894736842105263,0.4605,0.4771,0.4417,0.4078947368421053,0.4417918063857706
0.8421052631578947,0.4028,0.4198,0.3835,0.368421052631579,0.39291441901151775
0.894736842105263,0.3615,0.3653,0.3423,0.32894736842105265,0.3444379647178889
0.9473684210526315,0.2958,0.3082,0.2945,0.2894736842105263,0.29669047966175827
1.0,0.2391,0.2524,0.2558,0.25,0.25
