lambda,fidelity_n3,fidelity_n5,fidelity_n7,fidelity_n9
0.0,1.0,1.0,1.0,1.0
0.0416666666666666,0.9919425,0.99492,0.9962525,0.9966075
0.0833333333333333,0.9824475,0.98873,0.99198,0.9927325
0.125,0.9716875,0.981565,0.98631,0.988145
0.1666666666666666,0.958715,0.971805,0.9799825,0.9829725
0.2083333333333333,0.94459,0.9612275,0.97248,0.9758725
0.25,0.92931,0.9485675,0.96319,0.9683625
0.2916666666666666,0.91264,0.9347425,0.953015,0.9597
0.3333333333333333,0.8952625,0.9196775,0.93976,0.949405
0.375,0.8758525,0.902225,0.925235,0.93681
0.4166666666666666,0.8557125,0.8827475,0.9093,0.92245
0.4583333333333333,0.834525,0.863125,0.8903275,0.9063975
0.5,0.813685,0.8414075,0.86893,0.8872575
0.5416666666666666,0.7897275,0.8178125,0.8471725,0.8657575
0.5833333333333333,0.76627,0.7931,0.822725,0.84275
0.625,0.7418225,0.7699225,0.7975575,0.816325
0.6666666666666666,0.715665,0.7427875,0.768405,0.787715
0.7083333333333333,0.6901325,0.7138325,0.7384525,0.75702
0.75,0.6640025,0.6855125,0.7078525,0.726355
0.7916666666666666,0.63605,0.656765,0.6741825,0.689605
0.8333333333333333,0.60991,0.6253925,0.64232,0.654265
0.875,0.5832375,0.5938475,0.6061875,0.6161125
0.9166666666666666,0.5549,0.5625625,0.571365,0.579025
0.9583333333333331,0.5279725,0.5296975,0.535115,0.539235
1.0,0.499935,0.5000175,0.50106,0.500305
