lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.98811
0.08333333333333333,0.97313
0.125,0.95478
0.16666666666666666,0.9338
0.20833333333333331,0.9105
0.25,0.88762
0.29166666666666663,0.85804
0.3333333333333333,0.82903
0.375,0.80116
0.41666666666666663,0.77179
0.4583333333333333,0.73588
0.5,0.70234
0.5416666666666666,0.66662
0.5833333333333333,0.6322
0.625,0.59064
0.6666666666666666,0.55519
0.7083333333333333,0.51667
0.75,0.47831
0.7916666666666666,0.43829
0.8333333333333333,0.39849
0.875,0.3621
0.9166666666666666,0.32389
0.9583333333333333,0.28581
1.0,0.24889
